"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-09-29","88.8","1.2163","6.2481","Clayton Kershaw",460026,477132,"field_out","hit_into_play",,,,,"1","Nick Hundley flies out to left fielder Joc Pederson.  ","R","R","L","SF","LAD","X",7,"fly_ball",0,0,2018,"-0.3915","1.2104","-0.6818","2.8478","null","null","446334.00",2,5,"Bot","32.25","91.94",,,518735,,"180929_215330","-3.8245","-129.1689","-4.7655","-3.5303","27.7764","-17.9192","3.3710","1.5350","333","92.7","34.7170","88.5580","2526","6.2300",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.2671","0.087","0.165","0.00",1,0,0,3,48,"1","Slider",5,5,5,5,5,5,5,5,"Standard","Standard"
"FF","2018-09-29","90.9","1.3012","6.1397","Clayton Kershaw",446334,477132,"single","hit_into_play_no_out",,,,,"5","Evan Longoria singles on a sharp ground ball to shortstop Manny Machado.  ","R","R","L","SF","LAD","X","null","ground_ball",1,0,2018,"-0.0614","1.7895","0.0589","2.3922","null","null","null",2,5,"Bot","98.19","147.35",,,518735,,"180929_215230","-2.9854","-132.1617","-7.3132","-0.0739","28.5963","-9.8184","3.4110","1.5650","38","106.4","-1.3970","90.9720","2399","6.4120",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.0853","0.453","0.426","0.90",1,1,0,4,47,"2","4-Seam Fastball",5,5,5,5,5,5,5,5,"Infield shift","Standard"
"CU","2018-09-29","73.2","1.0898","6.3709","Clayton Kershaw",446334,477132,"null","ball",,,,,"13","null","R","R","L","SF","LAD","B","null","null",0,0,2018,"-0.1259","-1.6739","-1.2518","-0.2099","null","null","null",2,5,"Bot","null","null",,,518735,,"180929_215206","-4.4731","-106.3772","-2.9060","-0.0075","21.8815","-44.1932","3.4479","1.6012","null","null","null","72.0280","2569","5.9190",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.5785","null","null","null","null","null","null","null",47,"1","Curveball",5,5,5,5,5,5,5,5,"Infield shift","Standard"
"FF","2018-09-29","89.9","1.2007","6.1235","Clayton Kershaw",605412,477132,"sac_fly","hit_into_play_score",,,,,"4","Joe Panik out on a sacrifice fly to left fielder Joc Pederson.   Hunter Pence scores.  ","R","L","L","SF","LAD","X",7,"fly_ball",3,2,2018,"-0.2191","1.3396","-0.7406","2.2349","452254.00","null","null",1,5,"Bot","83.05","99.50",,,518735,,"180929_215125","-4.3645","-130.8238","-6.5613","-1.6374","26.9603","-15.5110","3.4110","1.5650","268","84.3","44.3400","90.4100","2656","6.5440",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"53.9529","0.005","0.003","0.00",1,0,0,3,46,"6","4-Seam Fastball",4,5,4,5,5,4,4,5,"Strategic","Standard"
"CU","2018-09-29","75.3","0.8822","6.3070","Clayton Kershaw",605412,477132,"null","blocked_ball",,,,,"13","null","R","L","L","SF","LAD","B","null","null",2,2,2018,"-0.2703","-1.3879","-0.9545","0.5717","452254.00","null","null",1,5,"Bot","null","null",,,518735,,"180929_215042","-3.3242","-109.5720","-2.3393","-1.5819","19.0164","-43.0774","3.0630","1.3666","null","null","null","75.0590","2655","6.0700",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.4271","null","null","null","null","null","null","null",46,"5","Curveball",4,5,4,5,5,4,4,5,"Strategic","Standard"
"FF","2018-09-29","92.3","1.1276","6.1888","Clayton Kershaw",605412,477132,"null","foul",,,,,"8","null","R","L","L","SF","LAD","S","null","null",2,1,2018,"0.1155","1.6749","-0.1790","1.7552","452254.00","null","null",1,5,"Bot","null","null",,,518735,,"180929_215014","-3.5693","-134.0479","-9.0198","2.2110","31.1048","-10.2692","3.4110","1.5650","249","80.7","44.4674","91.8690","2485","6.3030",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.1939","null","null","null","null","null","null","null",46,"4","4-Seam Fastball",4,5,4,5,5,4,4,5,"Strategic","Standard"
"SL","2018-09-29","89.4","1.2771","6.1517","Clayton Kershaw",605412,477132,"null","ball",,,,,"13","null","R","L","L","SF","LAD","B","null","null",1,1,2018,"-0.2784","1.4311","-1.1690","0.2976","null","452254.00","null",1,5,"Bot","null","null",,,518735,,"180929_214924","-5.4526","-129.7317","-11.4949","-2.1289","25.1747","-13.7502","3.1659","1.3666","null","null","null","89.9090","2679","6.5890",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"53.9086","null","null","null","null","null","null","null",46,"3","Slider",4,5,4,5,5,4,4,5,"Standard","Standard"
"FF","2018-09-29","89.0","1.2448","6.1879","Clayton Kershaw",605412,477132,"null","called_strike",,,,,"7","null","R","L","L","SF","LAD","S","null","null",1,0,2018,"0.2450","1.4177","-0.5014","1.3840","null","452254.00","null",1,5,"Bot","null","null",,,518735,,"180929_214901","-4.7675","-129.3138","-8.6915","3.6318","24.0102","-14.8700","3.1402","1.4449","null","null","null","88.9560","2508","6.0990",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.3988","null","null","null","null","null","null","null",46,"2","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Standard"
"FF","2018-09-29","88.9","1.3224","6.2437","Clayton Kershaw",605412,477132,"null","ball",,,,,"12","null","R","L","L","SF","LAD","B","null","null",0,0,2018,"0.5485","1.4162","0.5788","3.3217","null","452254.00","null",1,5,"Bot","null","null",,,518735,,"180929_214838","-2.9493","-129.3866","-4.0847","6.7110","25.0811","-15.7421","3.1145","1.4188","null","null","null","88.8750","2470","6.1030",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.3944","null","null","null","null","null","null","null",46,"1","4-Seam Fastball",4,5,4,5,5,4,4,5,"Standard","Standard"
"SL","2018-09-29","89.2","1.0877","6.2520","Clayton Kershaw",452254,477132,"double","hit_into_play_score",,,,,"7","Hunter Pence doubles (11) on a sharp line drive to left fielder Joc Pederson.   Abiatal Avelino scores.  ","R","R","L","SF","LAD","X","null","line_drive",0,0,2018,"-0.2112","1.1568","-0.7113","1.8319","null","null","623214.00",1,5,"Bot","24.85","101.27",,,518735,,"180929_214737","-4.0065","-129.9059","-7.4168","-1.6645","24.9169","-17.6074","3.5490","1.6270","328","107.1","17.9070","90.2040","2505","6.6680",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"53.8294","0.721","0.964","1.25",1,1,1,6,45,"1","Slider",3,5,3,5,5,3,3,5,"Standard","Standard"
