"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CH","2018-09-25","83.7","-3.5121","5.3358","Max Scherzer",518618,453286,"field_out","hit_into_play",,,,,"4","Derek Dietrich flies out to left fielder Juan Soto.  ","R","L","R","WSH","MIA","X",7,"fly_ball",0,0,2018,"-1.3436","-0.0591","-0.4758","2.3399","null","null","642423.00",2,7,"Top","67.15","112.60",,,446308,,"180926_010742","9.5853","-121.4810","-0.3766","-15.0448","22.5585","-32.9001","3.3710","1.5350","259","91.3","55.2420","83.4680","1402","6.1630",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.3370","0.010","0.014","0.00",1,0,0,3,54,"1","Changeup",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2018-09-25","94.1","-3.7371","5.0227","Max Scherzer",642423,453286,"single","hit_into_play_no_out",,,,,"5","Magneuris Sierra singles on a line drive to center fielder Bryce Harper.  ","R","L","R","WSH","MIA","X","null","line_drive",0,0,2018,"-1.0061","1.0072","0.2065","2.1142","null","null","null",2,7,"Top","112.01","97.67",,,446308,,"180926_010646","12.4402","-136.5007","-4.0704","-15.1746","27.5497","-18.8694","3.3190","1.5130","197","71.9","15.8570","94.2740","2413","6.3780",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.1215","0.692","0.594","0.90",1,1,0,4,53,"1","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Strategic"
"SL","2018-09-25","84.5","-3.6761","5.1420","Max Scherzer",621573,453286,"strikeout","swinging_strike",,,,,"14","Austin Dean strikes out swinging.  ","R","R","R","WSH","MIA","S",2,"null",3,2,2018,"0.2658","-0.1130","0.1680","1.3700","null","null","null",1,7,"Top","null","null",,,446308,,"180926_010533","8.3779","-122.8546","-2.2610","1.2315","21.2797","-33.1264","3.4110","1.5650","null","null","null","84.4010","2492","5.9920",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.5072","null","null","0.00",1,0,0,"null",52,"10","Slider",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2018-09-25","95.2","-3.5948","4.9246","Max Scherzer",621573,453286,"null","foul",,,,,"5","null","R","R","R","WSH","MIA","S","null","null",3,2,2018,"-0.3800","1.0636","-0.1774","2.7923","null","null","null",1,7,"Top","null","null",,,446308,,"180926_010508","9.8121","-138.4204","-2.3550","-6.9518","28.9688","-18.1745","3.4110","1.5650","188","76.5","63.8313","95.3900","2479","6.3030",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.1965","null","null","null","null","null","null","null",52,"9","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2018-09-25","97.3","-3.6643","4.9968","Max Scherzer",621573,453286,"null","foul",,,,,"5","null","R","R","R","WSH","MIA","S","null","null",3,2,2018,"-0.5536","1.2518","-0.1766","2.7679","null","null","null",1,7,"Top","null","null",,,446308,,"180926_010435","10.6263","-141.4401","-3.3497","-9.7303","30.0877","-14.7711","3.4110","1.5650","159","79.4","15.5326","97.5990","2593","6.3640",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.1351","null","null","null","null","null","null","null",52,"8","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2018-09-25","96.7","-3.8005","4.9830","Max Scherzer",621573,453286,"null","foul",,,,,"7","null","R","R","R","WSH","MIA","S","null","null",3,2,2018,"-0.7665","1.3204","-0.4304","2.0221","null","null","null",1,7,"Top","null","null",,,446308,,"180926_010403","10.6287","-140.2953","-5.2673","-12.3328","30.0529","-13.9407","3.4110","1.5650","161","75.2","18.4716","96.2120","2560","6.0550",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.4446","null","null","null","null","null","null","null",52,"7","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2018-09-25","95.5","-3.7418","4.9110","Max Scherzer",621573,453286,"null","foul",,,,,"1","null","R","R","R","WSH","MIA","S","null","null",3,2,2018,"-0.7804","1.2331","-0.3720","3.2523","null","null","null",1,7,"Top","null","null",,,446308,,"180926_010336","10.5379","-138.6929","-1.4598","-12.3081","30.7378","-16.3206","3.4110","1.5650","198","74.6","54.7782","94.9410","2510","6.0530",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.4461","null","null","null","null","null","null","null",52,"6","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"SL","2018-09-25","83.3","-3.6442","5.1378","Max Scherzer",621573,453286,"null","swinging_strike",,,,,"14","null","R","R","R","WSH","MIA","S","null","null",3,1,2018,"0.3713","-0.1483","1.5397","1.3534","null","null","null",1,7,"Top","null","null",,,446308,,"180926_010304","11.1020","-120.9089","-1.9331","1.5310","22.6638","-33.4759","3.4110","1.5650","null","null","null","82.8440","2287","6.0390",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.4606","null","null","null","null","null","null","null",52,"5","Slider",3,1,1,3,1,3,1,3,"Standard","Standard"
"SL","2018-09-25","83.3","-3.7516","5.0409","Max Scherzer",621573,453286,"null","ball",,,,,"11","null","R","R","R","WSH","MIA","B","null","null",2,1,2018,"0.5432","-0.1000","-1.3077","2.3795","null","null","null",1,7,"Top","null","null",,,446308,,"180926_010243","4.5342","-121.1848","0.5495","4.3649","24.4421","-33.4953","3.1028","1.4857","null","null","null","82.7860","null","6.0330",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.4668","null","null","null","null","null","null","null",52,"4","Slider",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2018-09-25","96.4","-3.7731","5.0645","Max Scherzer",621573,453286,"null","ball",,,,,"11","null","R","R","R","WSH","MIA","B","null","null",1,1,2018,"-0.8511","1.1514","-1.6354","3.4779","null","null","null",1,7,"Top","null","null",,,446308,,"180926_010221","7.4995","-140.0852","-1.1837","-12.6986","31.6941","-17.2638","3.1605","1.5650","null","null","null","95.4670","2464","5.8290",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.6705","null","null","null","null","null","null","null",52,"3","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
